vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity
62,185,366,2021-11-03,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, CVE-2021-27078.",Apply updates per vendor instructions.,2021-04-16,Unknown,0.0,Unknown,Unknown,Unknown,3
62,339,399,2021-11-03,A privilege escalation vulnerability exists in Windows when the Windows kernel-mode driver fails to properly handle objects in memory,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,444,2021-11-03,Windows Print Spooler Privilege Escalation Vulnerability,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
62,262,388,2021-11-03,Scripting Engine Memory Corruption Vulnerability,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
62,344,402,2021-11-03,"A spoofing vulnerability exists in the way Windows CryptoAPI (Crypt32.dll) validates Elliptic Curve Cryptography (ECC) certificates. An attacker could exploit the vulnerability by using a spoofed code-signing certificate to sign a malicious executable, making it appear the file was from a trusted, legitimate source, aka 'Windows CryptoAPI Spoofing Vulnerability'.",Apply updates per vendor instructions.,2020-01-29,Unknown,0.0,Unknown,Unknown,Unknown,3
62,268,389,2021-11-03,"A remote code execution vulnerability exists in Microsoft SharePoint when the software fails to check the source markup of an application package, aka 'Microsoft SharePoint Remote Code Execution Vulnerability'. This CVE ID is unique from CVE-2019-0594.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
62,178,319,2021-11-03,"A remote code execution vulnerability exists when the Microsoft .NET Framework fails to validate input properly, aka '.NET Framework Remote Code Execution Injection Vulnerability'.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,403,2021-11-03,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0797.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
62,185,394,2021-11-03,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26855, CVE-2021-26858, CVE-2021-27065, CVE-2021-27078.",Apply updates per vendor instructions.,2021-04-16,Unknown,0.0,Unknown,Unknown,Unknown,3
62,179,320,2021-11-03,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,419,2021-11-03,"A privilege escalation vulnerability exists when the Windows Common Log File System (CLFS) driver improperly handles objects in memory, aka 'Windows Common Log File System Driver Elevation of Privilege Vulnerability'.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
62,188,396,2021-11-03,"Allows local users to gain privileges via a crafted application, aka ""Microsoft Office OLE DLL Side Loading Vulnerability.""",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,420,2021-11-03,"A privilege escalation vulnerability exists in the way Windows Error Reporting (WER) handles files, aka 'Windows Error Reporting Elevation of Privilege Vulnerability'.",Apply updates per vendor instructions.,2022-05-03,2019-05-16,7.8,NVD-CWE-noinfo,LOCAL,LOW,1
62,342,418,2021-11-03,Microsoft Windows Common Log File System Driver contains an unspecified vulnerability which allows for privilege escalation.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
62,180,324,2021-11-03,Open Management Infrastructure Privilege Escalation Vulnerability,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
66,367,482,2021-11-03,"A race condition can cause a use-after-free when running the nsDocShell destructor. This vulnerability affects Thunderbird < 68.7.0, Firefox < 74.0.1, and Firefox ESR < 68.6.1.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
66,236,481,2021-11-03,"A race condition can cause a use-after-free when handling a ReadableStream. This vulnerability affects Thunderbird < 68.7.0, Firefox < 74.0.1, and Firefox ESR < 68.6.1.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
66,142,484,2021-11-03,"Incorrect alias information in IonMonkey JIT compiler for setting array elements could lead to a type confusion. This vulnerability affects Firefox ESR < 68.4.1, Thunderbird < 68.4.1, and Firefox < 72.0.1",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
67,200,498,2021-11-03,"The exploit requires access to the server as the nagios user, or access as the admin user via the web interface. The getprofile.sh script, invoked by downloading a system profile (profile.php?cmd=download), is executed as root via a passwordless sudo entry; the script executes check_plugin, which is owned by the nagios user",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
68,198,500,2021-11-03,NETGEAR JGS516PE devices before 2.6.0.43 are affected by lack of access control at the function level.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
69,203,501,2021-11-03,Netis WF2419 is vulnerable to authenticated Remote Code Execution (RCE) as root through the router Web management page. The vulnerability has been found in firmware version V1.2.31805 and V2.2.36123,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
74,215,509,2021-11-03,Allows unauthenticated attacker with network access via T3 to compromise Oracle Coherence. Successful attacks of this vulnerability can result in takeover of Oracle Coherence,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
74,216,520,2021-11-03,Allows remote attackers to affect confidentiality and integrity via unknown vectors related to Report Server Component.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
74,217,521,2021-11-03,Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Solaris.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
74,218,524,2021-11-03,"Allows remote attackers to execute arbitrary commands via a crafted serialized Java object in T3 protocol traffic to TCP port 7001, related to oracle_common/modules/com.bea.core.apache.commons.collections.jar.",Apply updates per vendor instructions.,2022-05-03,2015-11-18,0.0,CWE-77,Unknown,Unknown,3
74,218,524,2021-11-03,Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle WebLogic Server.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
74,218,524,2021-11-03,Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle WebLogic Server.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
74,218,524,2021-11-03,Easily exploitable vulnerability allows high privileged attacker with network access via HTTP to compromise Oracle WebLogic Server.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
83,224,536,2021-11-03,PlaySMS before 1.4.3 does not sanitize inputs from a malicious string.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
85,2,538,2021-11-03,Contains a .NET deserialization vulnerability in the RadAsyncUpload function that can result in remote code execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,543,2021-11-03,Vulnerability to an authentication bypass vulnerability exposed by the Windows File Share Browser and Pulse Secure Collaboration features of Pulse Connect Secure that can allow an unauthenticated user to perform remote arbitrary code execution on the Pulse Connect Secure gateway.,Apply updates per vendor instructions.,2021-04-23,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,539,2021-11-03,A vulnerability in the Pulse Connect Secure < 9.1R8.2 admin web interface could allow an authenticated attacker to upload custom template to perform an arbitrary code execution.,Apply updates per vendor instructions.,2021-04-23,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,540,2021-11-03,A vulnerability allowed multiple unrestricted uploads in Pulse Connect Secure before 9.1R11.4 that could lead to an authenticated administrator to perform a file write via a maliciously crafted archive upload in the administrator web interface.,Apply updates per vendor instructions.,2021-04-23,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,542,2021-11-03,A buffer overflow vulnerability exists in Pulse Connect Secure before 9.1R11.4 allows a remote authenticated attacker to execute arbitrary code as the root user via maliciously crafted meeting room.,Apply updates per vendor instructions.,2021-04-23,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,543,2021-11-03,A vulnerability in the Pulse Connect Secure < 9.1R9 admin web interface could allow an authenticated attacker to perform an arbitrary code execution using uncontrolled gzip extraction.,Apply updates per vendor instructions.,2021-04-23,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,543,2021-11-03,Allows a remote authenticated attacker to perform remote code execution via Windows Resource Profiles Feature.,Apply updates per vendor instructions.,2021-04-23,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,544,2021-11-03,An unauthenticated remote attacker can send a specially crafted URI to perform an arbitrary file reading vulnerability.,Apply updates per vendor instructions.,2021-04-23,Unknown,0.0,Unknown,Unknown,Unknown,3
86,231,545,2021-11-03,Pulse Secure's Connect and Policy secure platforms contain a vulnerability in the admin web interface which allows an attacker to inject and execute commands.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
89,274,555,2021-11-03,Improper handling of address deregistration on failure can lead to new GPU address allocation failure.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
89,274,557,2021-11-03,Possible use after free due to improper handling of memory mapping of multiple processes simultaneously,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
93,369,683,2021-11-03,lib/ajaxHandlers/ajaxAddTemplate.php in rConfig through 3.94 allows remote attackers to execute arbitrary OS commands via shell metacharacters in the fileName POST parameter.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
94,151,561,2021-11-03,Realtek Jungle SDK version v2.x up to v3.4.14B arbitrary code execution.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
98,240,569,2021-11-03,"Allows unauthorized access to arbitrary files on the host's filesystem, including configuration files. The issue is related to file-based attachment plugins and _task=settings&_action=upload-display&_from=timezone requests.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
99,260,584,2021-11-03,The salt-master process ClearFuncs class allows access to some methods that improperly sanitize paths. These methods allow arbitrary directory access to authenticated users.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
99,260,582,2021-11-03,The salt-master process ClearFuncs class does not properly validate method calls. This allows a remote user to access some methods without authentication.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
99,260,583,2021-11-03,"An issue was discovered in SaltStack Salt through 3002. Sending crafted web requests to the Salt API, with the SSH client enabled, can result in shell injection.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
101,243,572,2021-11-03,"SAP CRM, 7.01, 7.02,7.30, 7.31, 7.33, 7.54, allows an attacker to exploit insufficient validation of path information provided by users, thus characters representing ""traverse to parent directory"" are passed through to the file APIs.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
101,247,573,2021-11-03,"The Invoker Servlet on SAP NetWeaver Application Server Java platforms, possibly before 7.3, does not require authentication, which allows remote attackers to execute arbitrary code via an HTTP or HTTPS request.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
101,244,574,2021-11-03,"BC-BMT-BPM-DSK in SAP NetWeaver AS JAVA 7.5 allows remote authenticated users to conduct XML External Entity (XXE) attacks via the sap.com~tc~bpem~him~uwlconn~provider~web/bpemuwlconn URI, aka SAP Security Note 2296909.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
101,245,579,2021-11-03,"SAP NetWeaver AS JAVA (LM Configuration Wizard), versions - 7.30, 7.31, 7.40, 7.50, does not perform an authentication check which allows an attacker without prior authentication to execute configuration tasks to perform critical actions against the SAP Java system.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
101,248,580,2021-11-03,"SAP Solution Manager (User Experience Monitoring), version- 7.2, due to Missing Authentication Check does not perform any authentication for a service resulting in complete compromise of all SMDAgents connected to the Solution Manager.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
101,246,575,2021-11-03,"Directory traversal vulnerability in SAP NetWeaver AS Java 7.1 through 7.5 allows remote attackers to read arbitrary files via a ..\ (dot dot backslash) in the fileName parameter to CrashFileDownloadServlet, aka SAP Security Note 2234971.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
104,253,581,2021-11-03,"Some Samsung devices include the SIMalliance Toolbox Browser (aka S@T Browser) on the UICC, which might allow remote attackers to retrieve location and IMEI information, or retrieve other data or execute certain commands, via SIM Toolkit (STK) instructions in an SMS message, aka Simjacker.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
106,276,591,2021-11-03,"The SolarWinds Orion API is vulnerable to an authentication bypass that could allow a remote attacker to execute API commands. SolarWinds Orion Platform versions 2019.4 HF 5, 2020.2 with no hotfix installed, and 2020.2 HF 1 are affected.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
106,278,593,2021-11-03,Microsoft discovered a remote code execution (RCE) vulnerability in the SolarWinds Serv-U product utilizing a Remote Memory Escape Vulnerability.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
106,277,594,2021-11-03,"SolarWinds Virtualization Manager 6.3.1 and earlier allow local users to gain privileges by leveraging a misconfiguration of sudo, as demonstrated by ""sudo cat /etc/passwd.""",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
107,281,502,2021-11-03,Sonatype Nexus Repository before 3.21.2 allows JavaEL Injection (issue 1 of 2).,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
108,283,596,2021-11-03,A vulnerability in the SonicWall Email Security version 10.0.9.x allows an attacker to create an administrative account by sending a crafted HTTP request to the remote host.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
108,255,598,2021-11-03,Vulnerability in SonicWall SMA100 versions 9.0.0.3 and earlier allow an unauthenticated user to gain read-only access to unauthorized resources.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
108,283,596,2021-11-03,SonicWall Email Security version 10.0.9.x contains a vulnerability that allows a post-authenticated attacker to upload an arbitrary file to the remote host.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
108,283,596,2021-11-03,SonicWall Email Security version 10.0.9.x contains a vulnerability that allows a post-authenticated attacker to read an arbitrary file on the remote host.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
108,284,600,2021-11-03,Allows a remote unauthenticated attacker to perform SQL query to access username password and other session related information in SMA100 build version 10.x.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
109,285,606,2021-11-03,A SQL injection issue that causes affected devices configured with either the administration (HTTPS) service or the User Portal exposed on the WAN zone.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
111,296,609,2021-11-03,"goform/formEMR30 in Sumavision Enhanced Multimedia Router (EMR) 3.0.4.27 allows creation of arbitrary users with elevated privileges (administrator) on a device, as demonstrated by a setString=new_user<*1*>administrator<*1*>123456 request.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
112,297,610,2021-11-03,The Symantec Messaging Gateway before 10.6.3-267 can encounter an issue of remote code execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
114,300,615,2021-11-03,Allows a bypass of remote-login access control because the same key is used for different customers' installations.,Apply updates per vendor instructions.,2022-05-03,2020-02-07,7.0,CWE-521,LOCAL,HIGH,1
115,3,617,2021-11-03,Telerik.Web.UI.dll in Progress Telerik UI for ASP.NET AJAX before R2 2017 SP1 and Sitefinity before 10.0.6412.0 does not properly protect Telerik.Web.UI.DialogParametersEncryptionKey or the MachineKey.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
116,301,618,2021-11-03,Tenda AC11 devices with firmware through 02.03.01.104_CN contain a stack buffer overflow vulnerability in /goform/setmac which allows for arbitrary execution.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
116,302,619,2021-11-03,The goform/setUsbUnload endpoint of Tenda AC15 AC1900 version 15.03.05.19 allows remote attackers to execute arbitrary system commands via the deviceName POST parameter.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
116,303,620,2021-11-03,"Issue on Tenda AC7 devices with firmware through V15.03.06.44_CN(AC7), AC9 devices with firmware through V15.03.05.19(6318)_CN(AC9), and AC10 devices with firmware through V15.03.06.23_CN(AC10). A command Injection vulnerability allows attackers to execute arbitrary OS commands via a crafted goform/setUsbUnload request. This occurs because the ""formsetUsbUnload"" function executes a dosystemCmd function with untrusted input.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
117,207,621,2021-11-03,"Issue in NoneCms V1.3. thinkphp/library/think/App.php allows remote attackers to execute arbitrary PHP code via crafted use of the filter parameter, as demonstrated by the s=index/\think\Request/input&filter=phpinfo&data=1 query string.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
117,304,621,2021-11-03,"ThinkPHP before 3.2.4, as used in Open Source BMS v1.1.1 and other products, allows Remote Command Execution via public//?s=index/\think\app/invokefunction&function=call_user_func_array&vars[0]=system&vars[1][]= followed by the command.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
120,311,623,2021-11-03,"Trend Micro OfficeScan versions 11.0 and XG (12.0) could be exploited by an attacker utilizing a directory traversal vulnerability to extract files from an arbitrary zip file to a specific folder on the OfficeScan server, which could potentially lead to remote code execution (RCE).",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
120,306,625,2021-11-03,A migration tool component of Trend Micro Apex One (2019) and OfficeScan XG contains a vulnerability which could allow remote attackers to execute arbitrary code on affected installations (RCE).,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
120,309,626,2021-11-03,Agents are affected by a content validation escape vulnerability which could allow an attacker to manipulate certain agent client components.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
120,308,628,2021-11-03,"A vulnerability in Trend Micro Apex One and Worry-Free Business Security 10.0 SP1 on Microsoft Windows may allow an attacker to manipulate a particular product folder to disable the security temporarily, abuse a specific Windows function and attain privilege escalation",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
120,307,629,2021-11-03,Server contain a vulnerable EXE file that could allow a remote attacker to write arbitrary data to an arbitrary path on affected installations and bypass ROOT login.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
120,310,630,2021-11-03,"An improper input validation vulnerability in Trend Micro Apex One, Apex One as a Service, OfficeScan XG and Worry-Free Business Security allows a local attacker to escalate privileges.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
120,310,630,2021-11-03,"An improper input validation vulnerability in Trend Micro Apex One, Apex One as a Service, OfficeScan XG, and Worry-Free Business Security allows for upload of arbitrary files.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
122,199,614,2021-11-03,TVT NVMS-1000 devices allow GET /.. Directory Traversal,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
124,318,633,2021-11-03,Unraid 6.8.0 allows authentication bypass.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
124,318,634,2021-11-03,Unraid through 6.8.0 allows Remote Code Execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
125,370,684,2021-11-03,vBulletin 5.x through 5.5.4 allows remote command execution via the widgetConfig[code] parameter in an ajax/render/widget_php routestring request.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
125,370,684,2021-11-03,vBulletin 5.5.4 through 5.6.2 allows remote command execution via crafted subWidgets data in an ajax/render/widget_tabbedcontainer_tab_panel request. NOTE: this issue exists because of an incomplete fix for CVE-2019-16759.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
126,80,635,2021-11-03,OpenSLP as used in ESXi and the Horizon DaaS appliances have a heap overwrite issue. A malicious actor with network access to port 427 on an ESXi host or on any Horizon DaaS management appliance may be able to overwrite the heap of the OpenSLP service resulting in remote code execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
126,79,504,2021-11-03,"OpenSLP as used in VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG) has a use-after-free issue. A malicious actor residing in the management network who has access to port 427 on an ESXi machine may be able to trigger a use-after-free in the OpenSLP service resulting in remote code execution.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
126,321,637,2021-11-03,Privilege escalation vulnerability due to improper use of setuid binaries.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
126,371,646,2021-11-03,VMware vCenter Server file upload vulnerability in the VMware-analytics service that allows to execute code on vCenter Server.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
126,371,648,2021-11-03,"Under certain conditions, vmdir that ships with VMware vCenter Server, as part of an embedded or external Platform Services Controller (PSC), does not correctly implement access controls.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
126,371,649,2021-11-03,The vSphere Client (HTML5) contains a remote code execution vulnerability in a vCenter Server plugin. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
126,371,649,2021-11-03,The vSphere Client (HTML5) contains a remote code execution vulnerability due to lack of input validation in the Virtual SAN Health Check plug-in which is enabled by default in vCenter Server. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
126,322,645,2021-11-03,"VMware Workspace One Access, Access Connector, Identity Manager, and Identity Manager Connector address have a command injection vulnerability.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
132,95,660,2021-11-03,The File Manager (wp-file-manager) plugin before 6.9 for WordPress allows remote attackers to upload and execute arbitrary PHP code because it renames an unsafe example elFinder connector file to have the .php extension.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
132,273,661,2021-11-03,The Snap Creek Duplicator plugin before 1.3.28 for WordPress (and Duplicator Pro before 3.8.7.1) allows Directory Traversal via ../ in the file parameter to duplicator_download or duplicator_init.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
132,275,662,2021-11-03,"The social-warfare plugin before 3.5.3 for WordPress has stored XSS via the wp-admin/admin-post.php?swp_debug=load_options swp_url parameter, as exploited in the wild in March 2019. This affects Social Warfare and Social Warfare Pro.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
134,74,663,2021-11-03,"Yealink Device Management (DM) 3.6.0.20 allows command injection as root via the /sm/api/v1/firewall/zone/services URI, without authentication",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
137,167,671,2021-11-03,Zoho ManageEngine ADSelfService Plus versions 6113 and earlier contain an authentication bypass vulnerability which allows for Remote Code Execution.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
137,168,673,2021-11-03,Zoho ManageEngine Desktop Central before 10.0.474 allows remote code execution because of deserialization of untrusted data in getChartImage in the FileStorage class. This is related to the CewolfServlet and MDMLogUploaderServlet servlets.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
137,169,676,2021-11-03,Zoho ManageEngine ServiceDesk Plus (SDP) before 10.0 build 10012 allows remote attackers to upload arbitrary files via login page customization.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
138,316,680,2021-11-03,Firmware version 4.60 of Zyxel USG devices contains an undocumented account (zyfwp) with an unchangeable password.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
78,88,226,2021-11-17,Improper neutralization of user data in the DjVu file format in Exiftool versions 7.44 and up allows arbitrary code execution when parsing the malicious image,Apply updates per vendor instructions.,2021-12-01,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,468,2021-11-17,Unspecified vulnerability allows for an authenticated user to escalate privileges.,Apply updates per vendor instructions.,2021-12-01,Unknown,0.0,Unknown,Unknown,Unknown,3
62,85,340,2021-11-17,An authenticated attacker could leverage improper validation in cmdlet arguments within Microsoft Exchange and perform remote code execution.,Apply updates per vendor instructions.,2021-12-01,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,335,2021-11-17,A security feature bypass vulnerability in Microsoft Excel would allow a local user to perform arbitrary code execution.,Apply updates per vendor instructions.,2021-12-01,Unknown,0.0,Unknown,Unknown,Unknown,3
89,274,556,2021-12-01,"Memory corruption due to improper check to return error when user application requests memory allocation of a huge size in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",Apply updates per vendor instructions.,2022-06-01,2021-06-09,7.8,CWE-20,LOCAL,LOW,1
63,241,476,2021-12-01,MikroTik RouterOS through 6.42 allows unauthenticated remote attackers to read arbitrary files and remote authenticated attackers to write arbitrary files due to a directory traversal vulnerability in the WinBox interface.,Apply updates per vendor instructions.,2022-06-01,Unknown,0.0,Unknown,Unknown,Unknown,3
137,169,675,2021-12-01,Zoho ManageEngine ServiceDesk Plus before 11302 is vulnerable to authentication bypass that allows a few REST-API URLs without authentication,Apply updates per vendor instructions.,2021-12-15,Unknown,0.0,Unknown,Unknown,Unknown,3
5,20,60,2021-12-01,A crafted request uri-path can cause mod_proxy to forward the request to an origin server choosen by the remote user. This issue affects Apache HTTP Server 2.4.48 and earlier.,Apply updates per vendor instructions.,2021-12-15,Unknown,0.0,Unknown,Unknown,Unknown,3
137,170,677,2021-12-01,"Zoho ManageEngine ServiceDesk Plus before 11306, ServiceDesk Plus MSP before 10530, and SupportCenter Plus before 11014 are vulnerable to unauthenticated remote code execution",Apply updates per vendor instructions.,2021-12-15,Unknown,0.0,Unknown,Unknown,Unknown,3
